Id	Desc	Name	Icon	ModelId	FakeObjId	FellowType	BabyFellowId	EvolveLevel	ClassId	ElementAttr	BuyUseMoney	CallLevel	AttackType	FirstSkillId	BaseAttackDown_White	BaseAttackUp_White	BaseAttackDown_Green	BaseAttackUp_Green	BaseAttackDown_Blue	BaseAttackUp_Blue	BaseAttackDown_Purple	BaseAttackUp_Purple	BaseAttackDown_Orange	BaseAttackUp_Orange	BaseHitDown_White	BaseHitUp_White	BaseHitDown_Green	BaseHitUp_Green	BaseHitDown_Blue	BaseHitUp_Blue	BaseHitDown_Purple	BaseHitUp_Purple	BaseHitDown_Orange	BaseHitUp_Orange	BaseCriticalDown_White	BaseCriticalUp_White	BaseCriticalDown_Green	BaseCriticalUp_Green	BaseCriticalDown_Blue	BaseCriticalUp_Blue	BaseCriticalDown_Purple	BaseCriticalUp_Purple	BaseCriticalDown_Orange	BaseCriticalUp_Orange	BaseGuardDown_White	BaseGuardUp_White	BaseGuardDown_Green	BaseGuardUp_Green	BaseGuardDown_Blue	BaseGuardUp_Blue	BaseGuardDown_Purple	BaseGuardUp_Purple	BaseGuardDown_Orange	BaseGuardUp_Orange	BaseBlessDown_White	BaseBlessUp_White	BaseBlessDown_Green	BaseBlessUp_Green	BaseBlessDown_Blue	BaseBlessUp_Blue	BaseBlessDown_Purple	BaseBlessUp_Purple	BaseBlessDown_Orange	BaseBlessUp_Orange	LevelAddAttack	LevelAddHit	LevelAddCritical	LevelAddGuard	LevelAddBless	AttachAttackOffset	AttachHitOffset	AttachCriticalOffset	AttachGuardOffset	AttachBlessOffset	AttachAttackRatio	AttachHitRatio	AttachCriticalRatio	AttachGuardRatio	AttachBlessRatio	StarExp_White	StarExp_Green	StarExp_Blue	StarExp_Purple	StarExp_Orange	TallentSkillCount	TallentSkill1	TallentSkill2	TallentSkill3	TallentSkill4	TallentSkill5	Valible
95	宠物紫糯米_8变	高级变异紫糯米	petzinuomi	485	88	2	86	8	1	1	0	1	2	50000	-1	-1	-1	-1	-1	-1	731	989	-1	-1	-1	-1	-1	-1	-1	-1	111	150	-1	-1	-1	-1	-1	-1	-1	-1	62	84	-1	-1	-1	-1	-1	-1	-1	-1	160	216	-1	-1	-1	-1	-1	-1	-1	-1	222	300	-1	-1	252	38	21	55	76	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	54101	0	0	0	0
96	宠物紫糯米_9变	高级变异紫糯米	petzinuomi	485	88	2	86	9	1	1	0	1	2	50000	-1	-1	-1	-1	-1	-1	-1	-1	984	1331	-1	-1	-1	-1	-1	-1	-1	-1	149	202	-1	-1	-1	-1	-1	-1	-1	-1	84	113	-1	-1	-1	-1	-1	-1	-1	-1	215	291	-1	-1	-1	-1	-1	-1	-1	-1	299	404	339	51	29	74	103	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	54101	0	0	0	0
97	宠物紫糯米_10变	高级变异紫糯米	petzinuomi	485	88	2	86	10	1	1	0	1	2	50000	-1	-1	-1	-1	-1	-1	-1	-1	1297	1754	-1	-1	-1	-1	-1	-1	-1	-1	197	266	-1	-1	-1	-1	-1	-1	-1	-1	110	149	-1	-1	-1	-1	-1	-1	-1	-1	283	383	-1	-1	-1	-1	-1	-1	-1	-1	394	532	447	68	38	98	136	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	54101	0	0	0	0
98	宠物小骷髅_宝宝	小骷髅宝宝	petkulouxiaohuoban	486	89	0	98	0	2	2	0	1	1	50000	94	127	-1	-1	-1	-1	-1	-1	-1	-1	7	10	-1	-1	-1	-1	-1	-1	-1	-1	6	8	-1	-1	-1	-1	-1	-1	-1	-1	12	16	-1	-1	-1	-1	-1	-1	-1	-1	20	28	-1	-1	-1	-1	-1	-1	-1	-1	32	2	2	4	7	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53501	0	0	0	0	1
99	宠物小骷髅_成年	成年小骷髅	petkulouxiaohuoban	486	89	1	98	0	2	2	0	1	1	50000	118	159	229	310	464	628	-1	-1	-1	-1	9	12	17	23	35	48	-1	-1	-1	-1	7	10	14	20	29	40	-1	-1	-1	-1	15	20	29	39	59	79	-1	-1	-1	-1	26	35	50	68	102	137	-1	-1	-1	-1	41	3	3	5	9	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53501	0	0	0	0	1
100	宠物小骷髅_1变	变异小骷髅	petkulouxiaohuoban	487	90	2	98	1	2	2	0	1	1	50000	113	153	-1	-1	-1	-1	-1	-1	-1	-1	9	12	-1	-1	-1	-1	-1	-1	-1	-1	7	10	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	25	33	-1	-1	-1	-1	-1	-1	-1	-1	39	3	2	5	9	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53501	0	0	0	0	0
101	宠物小骷髅_2变	变异小骷髅	petkulouxiaohuoban	487	90	2	98	2	2	2	0	1	1	50000	142	192	-1	-1	-1	-1	-1	-1	-1	-1	11	15	-1	-1	-1	-1	-1	-1	-1	-1	9	12	-1	-1	-1	-1	-1	-1	-1	-1	18	24	-1	-1	-1	-1	-1	-1	-1	-1	31	42	-1	-1	-1	-1	-1	-1	-1	-1	49	4	3	6	11	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53501	0	0	0	0	0
102	宠物小骷髅_3变	变异小骷髅	petkulouxiaohuoban	487	90	2	98	3	2	2	0	1	1	50000	-1	-1	190	257	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	12	16	-1	-1	-1	-1	-1	-1	-1	-1	24	32	-1	-1	-1	-1	-1	-1	-1	-1	42	56	-1	-1	-1	-1	-1	-1	66	5	4	8	14	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53501	0	0	0	0	0
103	宠物小骷髅_4变	变异小骷髅	petkulouxiaohuoban	487	90	2	98	4	2	2	0	1	1	50000	-1	-1	267	362	-1	-1	-1	-1	-1	-1	-1	-1	20	27	-1	-1	-1	-1	-1	-1	-1	-1	17	23	-1	-1	-1	-1	-1	-1	-1	-1	34	46	-1	-1	-1	-1	-1	-1	-1	-1	58	79	-1	-1	-1	-1	-1	-1	92	7	6	12	20	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53501	0	0	0	0	0
104	宠物小骷髅_5变	变异小骷髅	petkulouxiaohuoban	487	90	2	98	5	2	2	0	1	1	50000	-1	-1	-1	-1	383	518	-1	-1	-1	-1	-1	-1	-1	-1	29	39	-1	-1	-1	-1	-1	-1	-1	-1	24	33	-1	-1	-1	-1	-1	-1	-1	-1	48	65	-1	-1	-1	-1	-1	-1	-1	-1	84	113	-1	-1	-1	-1	132	10	8	17	29	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53501	0	0	0	0	0
105	宠物小骷髅_6变	变异小骷髅	petkulouxiaohuoban	487	90	2	98	6	2	2	0	1	1	50000	-1	-1	-1	-1	546	739	-1	-1	-1	-1	-1	-1	-1	-1	41	56	-1	-1	-1	-1	-1	-1	-1	-1	34	47	-1	-1	-1	-1	-1	-1	-1	-1	69	93	-1	-1	-1	-1	-1	-1	-1	-1	119	162	-1	-1	-1	-1	188	14	12	24	41	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53501	0	0	0	0	0
106	宠物小骷髅_7变	高级变异小骷髅	petkulouxiaohuoban	487	90	2	98	7	2	2	0	1	1	50000	-1	-1	-1	-1	-1	-1	767	1038	-1	-1	-1	-1	-1	-1	-1	-1	58	79	-1	-1	-1	-1	-1	-1	-1	-1	48	65	-1	-1	-1	-1	-1	-1	-1	-1	97	131	-1	-1	-1	-1	-1	-1	-1	-1	168	227	-1	-1	264	20	17	33	58	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53501	53601	0	0	0	0
107	宠物小骷髅_8变	高级变异小骷髅	petkulouxiaohuoban	487	90	2	98	8	2	2	0	1	1	50000	-1	-1	-1	-1	-1	-1	1056	1428	-1	-1	-1	-1	-1	-1	-1	-1	80	108	-1	-1	-1	-1	-1	-1	-1	-1	67	90	-1	-1	-1	-1	-1	-1	-1	-1	133	180	-1	-1	-1	-1	-1	-1	-1	-1	231	312	-1	-1	364	28	23	46	80	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53501	53601	0	0	0	0
108	宠物小骷髅_9变	高级变异小骷髅	petkulouxiaohuoban	487	90	2	98	9	2	2	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1421	1923	-1	-1	-1	-1	-1	-1	-1	-1	107	145	-1	-1	-1	-1	-1	-1	-1	-1	90	121	-1	-1	-1	-1	-1	-1	-1	-1	179	242	-1	-1	-1	-1	-1	-1	-1	-1	311	420	490	37	31	62	107	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53501	53601	0	0	0	0
109	宠物小骷髅_10变	高级变异小骷髅	petkulouxiaohuoban	487	90	2	98	10	2	2	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1873	2534	-1	-1	-1	-1	-1	-1	-1	-1	142	192	-1	-1	-1	-1	-1	-1	-1	-1	118	160	-1	-1	-1	-1	-1	-1	-1	-1	236	319	-1	-1	-1	-1	-1	-1	-1	-1	409	554	645	49	41	81	141	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53501	53601	0	0	0	0
110	宠物哥斯拉_宝宝	哥斯拉宝宝	petgesila	488	91	0	110	0	3	3	0	1	1	50000	65	88	-1	-1	-1	-1	-1	-1	-1	-1	9	13	-1	-1	-1	-1	-1	-1	-1	-1	8	11	-1	-1	-1	-1	-1	-1	-1	-1	16	21	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	22	3	3	5	5	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
111	宠物哥斯拉_成年	成年哥斯拉	petgesila	488	91	1	110	0	3	3	0	1	1	50000	82	110	158	214	322	435	-1	-1	-1	-1	12	16	23	31	47	63	-1	-1	-1	-1	10	13	19	26	39	53	-1	-1	-1	-1	20	27	38	52	78	106	-1	-1	-1	-1	18	24	35	47	70	95	-1	-1	-1	-1	28	4	3	7	6	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
112	宠物哥斯拉_1变	变异哥斯拉	petgesila	489	92	2	110	1	3	3	0	1	1	50000	78	106	-1	-1	-1	-1	-1	-1	-1	-1	11	15	-1	-1	-1	-1	-1	-1	-1	-1	10	13	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	17	23	-1	-1	-1	-1	-1	-1	-1	-1	27	4	3	7	6	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
113	宠物哥斯拉_2变	变异哥斯拉	petgesila	489	92	2	110	2	3	3	0	1	1	50000	98	133	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	12	16	-1	-1	-1	-1	-1	-1	-1	-1	24	32	-1	-1	-1	-1	-1	-1	-1	-1	21	29	-1	-1	-1	-1	-1	-1	-1	-1	34	5	4	8	7	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
114	宠物哥斯拉_3变	变异哥斯拉	petgesila	489	92	2	110	3	3	3	0	1	1	50000	-1	-1	132	178	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	16	22	-1	-1	-1	-1	-1	-1	-1	-1	32	43	-1	-1	-1	-1	-1	-1	-1	-1	29	39	-1	-1	-1	-1	-1	-1	45	7	6	11	10	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
115	宠物哥斯拉_4变	变异哥斯拉	petgesila	489	92	2	110	4	3	3	0	1	1	50000	-1	-1	185	250	-1	-1	-1	-1	-1	-1	-1	-1	27	36	-1	-1	-1	-1	-1	-1	-1	-1	22	30	-1	-1	-1	-1	-1	-1	-1	-1	45	61	-1	-1	-1	-1	-1	-1	-1	-1	40	55	-1	-1	-1	-1	-1	-1	64	9	8	15	14	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
116	宠物哥斯拉_5变	变异哥斯拉	petgesila	489	92	2	110	5	3	3	0	1	1	50000	-1	-1	-1	-1	265	359	-1	-1	-1	-1	-1	-1	-1	-1	39	52	-1	-1	-1	-1	-1	-1	-1	-1	32	44	-1	-1	-1	-1	-1	-1	-1	-1	64	87	-1	-1	-1	-1	-1	-1	-1	-1	58	78	-1	-1	-1	-1	91	13	11	22	20	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
117	宠物哥斯拉_6变	变异哥斯拉	petgesila	489	92	2	110	6	3	3	0	1	1	50000	-1	-1	-1	-1	378	512	-1	-1	-1	-1	-1	-1	-1	-1	55	75	-1	-1	-1	-1	-1	-1	-1	-1	46	62	-1	-1	-1	-1	-1	-1	-1	-1	92	124	-1	-1	-1	-1	-1	-1	-1	-1	83	112	-1	-1	-1	-1	130	19	16	32	28	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
118	宠物哥斯拉_7变	高级变异哥斯拉	petgesila	489	92	2	110	7	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	531	719	-1	-1	-1	-1	-1	-1	-1	-1	77	105	-1	-1	-1	-1	-1	-1	-1	-1	64	87	-1	-1	-1	-1	-1	-1	-1	-1	129	175	-1	-1	-1	-1	-1	-1	-1	-1	116	157	-1	-1	183	27	22	44	40	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
119	宠物哥斯拉_8变	高级变异哥斯拉	petgesila	489	92	2	110	8	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	731	989	-1	-1	-1	-1	-1	-1	-1	-1	106	144	-1	-1	-1	-1	-1	-1	-1	-1	89	120	-1	-1	-1	-1	-1	-1	-1	-1	177	240	-1	-1	-1	-1	-1	-1	-1	-1	160	216	-1	-1	252	37	31	61	55	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
120	宠物哥斯拉_9变	高级变异哥斯拉	petgesila	489	92	2	110	9	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	984	1331	-1	-1	-1	-1	-1	-1	-1	-1	143	194	-1	-1	-1	-1	-1	-1	-1	-1	119	162	-1	-1	-1	-1	-1	-1	-1	-1	239	323	-1	-1	-1	-1	-1	-1	-1	-1	215	291	339	49	41	82	74	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
121	宠物哥斯拉_10变	高级变异哥斯拉	petgesila	489	92	2	110	10	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1297	1754	-1	-1	-1	-1	-1	-1	-1	-1	189	256	-1	-1	-1	-1	-1	-1	-1	-1	157	213	-1	-1	-1	-1	-1	-1	-1	-1	315	426	-1	-1	-1	-1	-1	-1	-1	-1	283	383	447	65	54	108	98	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
122	宠物搬箱鼠_宝宝	搬箱鼠宝宝	petbanxiangshu	490	93	0	122	0	3	3	0	1	1	50000	58	78	-1	-1	-1	-1	-1	-1	-1	-1	9	13	-1	-1	-1	-1	-1	-1	-1	-1	6	9	-1	-1	-1	-1	-1	-1	-1	-1	16	21	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	20	3	2	5	7	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54601	0	0	0	0	1
123	宠物搬箱鼠_成年	成年搬箱鼠	petbanxiangshu	490	93	1	122	0	3	3	0	1	1	50000	73	98	141	190	286	387	-1	-1	-1	-1	12	16	23	31	47	63	-1	-1	-1	-1	8	11	15	21	31	42	-1	-1	-1	-1	20	27	38	52	78	106	-1	-1	-1	-1	24	32	46	62	94	127	-1	-1	-1	-1	25	4	3	7	8	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54601	0	0	0	0	1
124	宠物搬箱鼠_1变	变异搬箱鼠	petbanxiangshu	491	94	2	122	1	3	3	0	1	1	50000	70	94	-1	-1	-1	-1	-1	-1	-1	-1	11	15	-1	-1	-1	-1	-1	-1	-1	-1	8	10	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	23	31	-1	-1	-1	-1	-1	-1	-1	-1	24	4	3	7	8	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54601	0	0	0	0	0
125	宠物搬箱鼠_2变	变异搬箱鼠	petbanxiangshu	491	94	2	122	2	3	3	0	1	1	50000	87	118	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	10	13	-1	-1	-1	-1	-1	-1	-1	-1	24	32	-1	-1	-1	-1	-1	-1	-1	-1	29	39	-1	-1	-1	-1	-1	-1	-1	-1	30	5	3	8	10	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54601	0	0	0	0	0
126	宠物搬箱鼠_3变	变异搬箱鼠	petbanxiangshu	491	94	2	122	3	3	3	0	1	1	50000	-1	-1	117	158	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	13	17	-1	-1	-1	-1	-1	-1	-1	-1	32	43	-1	-1	-1	-1	-1	-1	-1	-1	38	52	-1	-1	-1	-1	-1	-1	40	7	4	11	13	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54601	0	0	0	0	0
127	宠物搬箱鼠_4变	变异搬箱鼠	petbanxiangshu	491	94	2	122	4	3	3	0	1	1	50000	-1	-1	164	223	-1	-1	-1	-1	-1	-1	-1	-1	27	36	-1	-1	-1	-1	-1	-1	-1	-1	18	24	-1	-1	-1	-1	-1	-1	-1	-1	45	61	-1	-1	-1	-1	-1	-1	-1	-1	54	73	-1	-1	-1	-1	-1	-1	57	9	6	15	19	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54601	0	0	0	0	0
128	宠物搬箱鼠_5变	变异搬箱鼠	petbanxiangshu	491	94	2	122	5	3	3	0	1	1	50000	-1	-1	-1	-1	236	319	-1	-1	-1	-1	-1	-1	-1	-1	39	52	-1	-1	-1	-1	-1	-1	-1	-1	26	35	-1	-1	-1	-1	-1	-1	-1	-1	64	87	-1	-1	-1	-1	-1	-1	-1	-1	77	104	-1	-1	-1	-1	81	13	9	22	27	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54601	0	0	0	0	0
129	宠物搬箱鼠_6变	变异搬箱鼠	petbanxiangshu	491	94	2	122	6	3	3	0	1	1	50000	-1	-1	-1	-1	336	455	-1	-1	-1	-1	-1	-1	-1	-1	55	75	-1	-1	-1	-1	-1	-1	-1	-1	37	50	-1	-1	-1	-1	-1	-1	-1	-1	92	124	-1	-1	-1	-1	-1	-1	-1	-1	110	149	-1	-1	-1	-1	116	19	13	32	38	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54601	0	0	0	0	0
130	宠物搬箱鼠_7变	高级变异搬箱鼠	petbanxiangshu	491	94	2	122	7	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	472	639	-1	-1	-1	-1	-1	-1	-1	-1	77	105	-1	-1	-1	-1	-1	-1	-1	-1	52	70	-1	-1	-1	-1	-1	-1	-1	-1	129	175	-1	-1	-1	-1	-1	-1	-1	-1	155	209	-1	-1	163	27	18	44	53	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54601	54301	0	0	0	0
131	宠物搬箱鼠_8变	高级变异搬箱鼠	petbanxiangshu	491	94	2	122	8	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	650	879	-1	-1	-1	-1	-1	-1	-1	-1	106	144	-1	-1	-1	-1	-1	-1	-1	-1	71	96	-1	-1	-1	-1	-1	-1	-1	-1	177	240	-1	-1	-1	-1	-1	-1	-1	-1	213	288	-1	-1	224	37	24	61	73	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54601	54301	0	0	0	0
132	宠物搬箱鼠_9变	高级变异搬箱鼠	petbanxiangshu	491	94	2	122	9	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	874	1183	-1	-1	-1	-1	-1	-1	-1	-1	143	194	-1	-1	-1	-1	-1	-1	-1	-1	96	129	-1	-1	-1	-1	-1	-1	-1	-1	239	323	-1	-1	-1	-1	-1	-1	-1	-1	287	388	301	49	33	82	99	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54601	54301	0	0	0	0
133	宠物搬箱鼠_10变	高级变异搬箱鼠	petbanxiangshu	491	94	2	122	10	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1152	1559	-1	-1	-1	-1	-1	-1	-1	-1	189	256	-1	-1	-1	-1	-1	-1	-1	-1	126	170	-1	-1	-1	-1	-1	-1	-1	-1	315	426	-1	-1	-1	-1	-1	-1	-1	-1	378	511	397	65	43	108	130	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54601	54301	0	0	0	0
134	宠物安吉拉_宝宝	安吉拉宝宝	petanjila	492	95	0	134	0	1	1	0	1	2	50000	58	78	-1	-1	-1	-1	-1	-1	-1	-1	6	9	-1	-1	-1	-1	-1	-1	-1	-1	6	9	-1	-1	-1	-1	-1	-1	-1	-1	20	28	-1	-1	-1	-1	-1	-1	-1	-1	20	28	-1	-1	-1	-1	-1	-1	-1	-1	20	2	2	7	7	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	0	0	0	0	1
135	宠物安吉拉_成年	成年安吉拉	petanjila	492	95	1	134	0	1	1	0	1	2	50000	73	98	141	190	286	387	-1	-1	-1	-1	8	11	15	21	31	42	-1	-1	-1	-1	8	11	15	21	31	42	-1	-1	-1	-1	26	35	50	68	102	137	-1	-1	-1	-1	26	35	50	68	102	137	-1	-1	-1	-1	25	3	3	9	9	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	0	0	0	0	1
136	宠物安吉拉_1变	变异安吉拉	petanjila	493	96	2	134	1	1	1	0	1	2	50000	70	94	-1	-1	-1	-1	-1	-1	-1	-1	8	10	-1	-1	-1	-1	-1	-1	-1	-1	8	10	-1	-1	-1	-1	-1	-1	-1	-1	25	33	-1	-1	-1	-1	-1	-1	-1	-1	25	33	-1	-1	-1	-1	-1	-1	-1	-1	24	3	3	9	9	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	0	0	0	0	0
137	宠物安吉拉_2变	变异安吉拉	petanjila	493	96	2	134	2	1	1	0	1	2	50000	87	118	-1	-1	-1	-1	-1	-1	-1	-1	10	13	-1	-1	-1	-1	-1	-1	-1	-1	10	13	-1	-1	-1	-1	-1	-1	-1	-1	31	42	-1	-1	-1	-1	-1	-1	-1	-1	31	42	-1	-1	-1	-1	-1	-1	-1	-1	30	3	3	11	11	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	0	0	0	0	0
138	宠物安吉拉_3变	变异安吉拉	petanjila	493	96	2	134	3	1	1	0	1	2	50000	-1	-1	117	158	-1	-1	-1	-1	-1	-1	-1	-1	13	17	-1	-1	-1	-1	-1	-1	-1	-1	13	17	-1	-1	-1	-1	-1	-1	-1	-1	42	56	-1	-1	-1	-1	-1	-1	-1	-1	42	56	-1	-1	-1	-1	-1	-1	40	4	4	14	14	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	0	0	0	0	0
139	宠物安吉拉_4变	变异安吉拉	petanjila	493	96	2	134	4	1	1	0	1	2	50000	-1	-1	164	223	-1	-1	-1	-1	-1	-1	-1	-1	18	24	-1	-1	-1	-1	-1	-1	-1	-1	18	24	-1	-1	-1	-1	-1	-1	-1	-1	58	79	-1	-1	-1	-1	-1	-1	-1	-1	58	79	-1	-1	-1	-1	-1	-1	57	6	6	20	20	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	0	0	0	0	0
140	宠物安吉拉_5变	变异安吉拉	petanjila	493	96	2	134	5	1	1	0	1	2	50000	-1	-1	-1	-1	236	319	-1	-1	-1	-1	-1	-1	-1	-1	26	35	-1	-1	-1	-1	-1	-1	-1	-1	26	35	-1	-1	-1	-1	-1	-1	-1	-1	84	113	-1	-1	-1	-1	-1	-1	-1	-1	84	113	-1	-1	-1	-1	81	9	9	29	29	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	0	0	0	0	0
141	宠物安吉拉_6变	变异安吉拉	petanjila	493	96	2	134	6	1	1	0	1	2	50000	-1	-1	-1	-1	336	455	-1	-1	-1	-1	-1	-1	-1	-1	37	50	-1	-1	-1	-1	-1	-1	-1	-1	37	50	-1	-1	-1	-1	-1	-1	-1	-1	119	162	-1	-1	-1	-1	-1	-1	-1	-1	119	162	-1	-1	-1	-1	116	13	13	41	41	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	0	0	0	0	0
142	宠物安吉拉_7变	高级变异安吉拉	petanjila	493	96	2	134	7	1	1	0	1	2	50000	-1	-1	-1	-1	-1	-1	472	639	-1	-1	-1	-1	-1	-1	-1	-1	52	70	-1	-1	-1	-1	-1	-1	-1	-1	52	70	-1	-1	-1	-1	-1	-1	-1	-1	168	227	-1	-1	-1	-1	-1	-1	-1	-1	168	227	-1	-1	163	18	18	58	58	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	53901	0	0	0	0
143	宠物安吉拉_8变	高级变异安吉拉	petanjila	493	96	2	134	8	1	1	0	1	2	50000	-1	-1	-1	-1	-1	-1	650	879	-1	-1	-1	-1	-1	-1	-1	-1	71	96	-1	-1	-1	-1	-1	-1	-1	-1	71	96	-1	-1	-1	-1	-1	-1	-1	-1	231	312	-1	-1	-1	-1	-1	-1	-1	-1	231	312	-1	-1	224	24	24	80	80	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	53901	0	0	0	0
144	宠物安吉拉_9变	高级变异安吉拉	petanjila	493	96	2	134	9	1	1	0	1	2	50000	-1	-1	-1	-1	-1	-1	-1	-1	874	1183	-1	-1	-1	-1	-1	-1	-1	-1	96	129	-1	-1	-1	-1	-1	-1	-1	-1	96	129	-1	-1	-1	-1	-1	-1	-1	-1	311	420	-1	-1	-1	-1	-1	-1	-1	-1	311	420	301	33	33	107	107	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	53901	0	0	0	0
145	宠物安吉拉_10变	高级变异安吉拉	petanjila	493	96	2	134	10	1	1	0	1	2	50000	-1	-1	-1	-1	-1	-1	-1	-1	1152	1559	-1	-1	-1	-1	-1	-1	-1	-1	126	170	-1	-1	-1	-1	-1	-1	-1	-1	126	170	-1	-1	-1	-1	-1	-1	-1	-1	409	554	-1	-1	-1	-1	-1	-1	-1	-1	409	554	397	43	43	141	141	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	53901	0	0	0	0
146	宠物德比鲁_宝宝	德比鲁宝宝	petdebilu	494	97	0	146	0	4	4	0	1	2	50000	86	117	-1	-1	-1	-1	-1	-1	-1	-1	10	13	-1	-1	-1	-1	-1	-1	-1	-1	7	9	-1	-1	-1	-1	-1	-1	-1	-1	13	18	-1	-1	-1	-1	-1	-1	-1	-1	13	18	-1	-1	-1	-1	-1	-1	-1	-1	30	3	2	5	5	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53101	0	0	0	0	1
